word,pattern_number,sentence_en,sentence_ja,choice_1,choice_2,choice_3,choice_4,correct_choice_index,feedback_1,feedback_2,feedback_3,feedback_4,tags,usage_scene,embedding_text
abandon,1,The crew had to <u>abandon</u> the sinking ship immediately.,乗組員は沈没する船をすぐに放棄しなければならなかった。,放棄する,固定する,修理する,引き返す,1,「放棄する」が正解です。abandon は「危険や困難な状況で何かを諦めて去る」という意味で、沈没船という緊急事態に最適です。共通テストや模試では、abandon は「危険だから捨てる」イメージでよく出ます。語源はフランス語の à bandon（自由にする）から来ています。,「固定する」に対応する英語は secure / fasten などで、船を安定させる行為を表します。abandon は船を去ることなので、意味が正反対になり不正解です。,「修理する」に対応する英語は repair / fix などで、船を直す行為を表します。しかし immediately（すぐに）という緊急性から、沈没中の船を修理する時間はないため不自然です。,「引き返す」は英語では return / turn back で、元の場所に戻ることを表します。沈没船からは脱出が必要であり、戻ることはありえないため不正解です。,action;emergency;movement;formal,emergency situation at sea,abandon : The crew had to abandon the sinking ship immediately. / 乗組員は沈没する船をすぐに放棄しなければならなかった。 / 正解: 放棄する / tags: action;emergency;movement;formal / scene: emergency situation at sea
abandon,2,The family decided to <u>abandon</u> their old house in the countryside.,その家族は田舎の古い家を手放すことに決めた。,手放す,修理する,購入する,賃貸する,1,「手放す」が正解です。abandon は「必要がなくなった、または維持できなくなったものを諦めて去る」という意味で、古い家を処分する状況に適しています。入試では「見捨てる」「放棄する」という訳で頻出し、give up よりも「完全に離れる」ニュアンスが強い点に注意しましょう。,「修理する」は英語では repair / fix で、建物を直す行為を表します。abandon は逆に「離れる・捨てる」という意味なので不正解です。,「購入する」は英語では buy / purchase で、所有権を得る行為を表します。abandon は所有を手放す行為なので真逆になります。,「賃貸する」は英語では rent (out) で、他人に貸す行為を表します。abandon は完全に手放すことを意味するため、貸すという選択肢とは異なります。,daily_life,action,decision,formal,family discussion about property,abandon : The family decided to abandon their old house in the countryside. / その家族は田舎の古い家を手放すことに決めた。 / 正解: 手放す / tags: daily_life,action,decision,formal / scene: family discussion about property
abandon,3,Scientists had to <u>abandon</u> the research project due to lack of funding.,科学者たちは資金不足のため、その研究プロジェクトを中止せざるを得なかった。,中止する,継続する,開始する,報告する,1,「中止する」が正解です。abandon は「やむを得ない理由で諦めて手放す」という意味で、資金不足という外的要因によるプロジェクト中止に最適です。学術・ビジネス文脈では「断念する」というニュアンスで使われます。TOEFL や IELTS では research / project と共に頻出の組み合わせです。,「継続する」は英語では continue / pursue / carry on で、活動を続ける行為を表します。abandon は真逆の「やめる」という意味なので不正解です。,「開始する」は英語では start / begin / initiate で、新たに何かを始める行為を表します。abandon は終わらせる行為なので矛盾します。,「報告する」は英語では report で、情報を伝達する行為を表します。abandon はプロジェクト自体をやめることを意味するため、報告とは異なります。,academic,science,action,formal,university research funding crisis,abandon : Scientists had to abandon the research project due to lack of funding. / 科学者たちは資金不足のため、その研究プロジェクトを中止せざるを得なかった。 / 正解: 中止する / tags: academic,science,action,formal / scene: university research funding crisis
abandon,4,"Never <u>abandon</u> hope, even in the most difficult situations.",どんなに困難な状況でも、決して希望を捨ててはいけない。,捨てる,持つ,見つける,共有する,1,"「捨てる」が正解です。abandon は抽象的な概念（hope, dream, idea など）に対しても使われ、「完全に諦める」という意味になります。Never abandon hope は「希望を捨てるな」という励ましの定型表現として頻出します。モチベーション系のスピーチでよく使われる重要フレーズです。",「持つ」は英語では have / hold / keep で、何かを保持し続ける行為を表します。abandon は手放すことなので反対の意味になります。,「見つける」は英語では find で、何かを発見する行為を表します。abandon は既にあるものを手放すことなので、見つけるとは文脈が合いません。,「共有する」は英語では share で、他者と分かち合う行為を表します。abandon は完全に手放すことを意味するため、共有とは異なります。,abstract,emotion_positive,advice,daily_life,motivational speech or encouragement,abandon : Never abandon hope, even in the most difficult situations. / どんなに困難な状況でも、決して希望を捨ててはいけない。 / 正解: 捨てる / tags: abstract,emotion_positive,advice,daily_life / scene: motivational speech or encouragement
abandon,5,The government was forced to <u>abandon</u> its original economic policy.,政府は当初の経済政策を放棄せざるを得なくなった。,放棄する,実施する,発表する,修正する,1,「放棄する」が正解です。abandon は政策や計画などを「完全にやめる」という意味で、was forced to（せざるを得なかった）という強制的な状況と合致します。政治・経済の文脈では頻出の組み合わせで、ニュース英語では policy / plan / strategy と共によく使われます。,「実施する」は英語では implement / carry out で、政策を実行に移す行為を表します。abandon は逆に「やめる」ことなので不正解です。,「発表する」は英語では announce / declare で、公に知らせる行為を表します。abandon は政策自体をやめることを意味します。announce は政策の存在を伝えることなので、異なる概念です。,「修正する」は英語では revise / amend で、一部を変更する行為を表します。abandon は完全にやめることなので、修正よりも徹底的な行為を表します。政策を少し変えるのではなく、完全に撤回する点が重要です。,politics,formal,action,policy,news article about government policy change,abandon : The government was forced to abandon its original economic policy. / 政府は当初の経済政策を放棄せざるを得なくなった。 / 正解: 放棄する / tags: politics,formal,action,policy / scene: news article about government policy change
abandon,6,We must <u>abandon</u> this plan if it proves too dangerous.,もしこの計画が危険すぎると分かったら、我々はそれを放棄しなければならない。,放棄する,実行する,提案する,検討する,1,「放棄する」が正解です。abandon は「危険や困難を理由に諦める」という意味で、if it proves too dangerous という条件と論理的につながります。計画・方針を中止する文脈で頻出です。,「実行する」は英語では execute / carry out で、計画を実施する行為を表します。abandon は逆に「やめる」ことなので矛盾します。,「提案する」は英語では propose / suggest で、新たなアイデアを出す行為を表します。abandon は既存の計画をやめることなので異なります。,「検討する」は英語では consider / examine で、よく考える行為を表します。abandon は考えた結果「やめる」ことなので、検討とは段階が異なります。,action;decision;formal;safety,discussion about risk management,abandon : We must abandon this plan if it proves too dangerous. / もしこの計画が危険すぎると分かったら、我々はそれを放棄しなければならない。 / 正解: 放棄する / tags: action;decision;formal;safety / scene: discussion about risk management
abandon,7,The settlers had to <u>abandon</u> their homes during the flood.,入植者たちは洪水の間、自分たちの家を離れなければならなかった。,離れる,守る,建てる,修理する,1,「離れる」が正解です。abandon は「緊急時に場所を去る」という意味で、during the flood という危機的状況と合致します。自然災害時の避難を表す重要表現です。,「守る」は英語では protect / defend で、安全を保つ行為を表します。during the flood という状況では、家を守るより避難が優先されます。,「建てる」は英語では build / construct で、新たに作る行為を表します。洪水中に建設は不可能なので文脈に合いません。,「修理する」は英語では repair / fix で、壊れたものを直す行為を表します。洪水中は修理より避難が優先されるため不適切です。,emergency;action;nature;physical,natural disaster evacuation,abandon : The settlers had to abandon their homes during the flood. / 入植者たちは洪水の間、自分たちの家を離れなければならなかった。 / 正解: 離れる / tags: emergency;action;nature;physical / scene: natural disaster evacuation
abandon,8,The captain ordered everyone to <u>abandon</u> ship when the fire spread rapidly.,火が急速に広がったとき、船長は全員に退船を命じた。,退船する,消火する,待機する,報告する,1,「退船する」が正解です。abandon ship は海事用語で「退船命令」を意味する定型表現です。火災などの緊急時に船を離れることを指し、英検・TOEIC でも頻出の慣用句です。maritime context では必須の表現で、そのまま覚えるべきイディオムです。,「消火する」は英語では extinguish / put out で、火を消す行為を表します。when the fire spread rapidly（火が急速に広がった）という状況では、消火より避難が優先されます。spread rapidly という表現が消火の困難さを示唆しています。,「待機する」は英語では wait / stand by で、その場に留まる行為を表します。abandon は逆に「離れる」ことなので矛盾します。緊急時には待機ではなく避難が必要です。,「報告する」は英語では report で、情報を伝える行為を表します。abandon ship は具体的な避難行動を指すため、報告とは異なります。ordered という命令の内容としては行動が求められます。,emergency,maritime,formal,action,emergency situation on a ship,abandon : The captain ordered everyone to abandon ship when the fire spread rapidly. / 火が急速に広がったとき、船長は全員に退船を命じた。 / 正解: 退船する / tags: emergency,maritime,formal,action / scene: emergency situation on a ship
abandon,9,They will <u>abandon</u> the search if weather conditions worsen.,気象条件が悪化したら、彼らは捜索を中止するだろう。,中止する,継続する,開始する,強化する,1,「中止する」が正解です。abandon the search は「捜索を打ち切る」という意味で、if weather conditions worsen という悪条件と論理的につながります。救助活動の文脈で重要な表現です。,「継続する」は英語では continue で、活動を続ける行為を表します。if conditions worsen という文脈では、中止が自然な判断です。,「開始する」は英語では start / begin で、新たに始める行為を表します。the search という既存の活動に対しては不適切です。,「強化する」は英語では intensify / strengthen で、より力を入れる行為を表します。悪条件下では強化より中止が安全です。,emergency;action;decision;formal,search and rescue operation,abandon : They will abandon the search if weather conditions worsen. / 気象条件が悪化したら、彼らは捜索を中止するだろう。 / 正解: 中止する / tags: emergency;action;decision;formal / scene: search and rescue operation
abandon,10,Don't <u>abandon</u> your principles for temporary gain.,一時的な利益のために信念を捨ててはいけない。,捨てる,守る,説明する,変更する,1,「捨てる」が正解です。abandon your principles は「信念を捨てる」という意味で、for temporary gain という誘惑に負けないという道徳的メッセージです。価値観を保つ重要性を示す表現です。,「守る」は英語では protect / maintain で、保持する行為を表します。Don't abandon は「捨てるな」= 「守れ」という意味ですが、abandon 自体は「捨てる」です。,「説明する」は英語では explain で、理由を述べる行為を表します。abandon は「手放す」ことなので、説明とは無関係です。,「変更する」は英語では change / modify で、内容を変える行為を表します。abandon は完全に捨てることなので、一部変更とは異なります。,moral;advice;abstract;formal,motivational advice about integrity,abandon : Don't abandon your principles for temporary gain. / 一時的な利益のために信念を捨ててはいけない。 / 正解: 捨てる / tags: moral;advice;abstract;formal / scene: motivational advice about integrity
abandoned,1,The <u>abandoned</u> factory was covered with rust and dust.,廃工場は錆と埃に覆われていた。,廃工場,繁栄している,新築の,改装された,1,「見捨てられた」が正解です。abandoned は「人が去って放置された、使われなくなった」という意味で、rust and dust（錆と埃）という荒廃の描写と一致します。試験では abandoned building / car のような形でよく出題されます。動詞 abandon の過去分詞から形容詞化した語です。,「繁栄している」は英語では prosperous / thriving で、活気があり成功している状態を表します。abandoned は正反対の「荒れ果てた」状態なので不正解です。,「新築の」は英語では newly-built / brand-new で、建てられたばかりの状態を表します。abandoned は古くて放置された状態なので、時間軸が正反対で不正解です。,「改装された」は英語では renovated / refurbished で、古い建物を新しく直した状態を表します。abandoned は放置されたままの状態なので、手入れがされているという点で矛盾し不正解です。,state;physical;environment;formal,description of old buildings,abandoned : The abandoned factory was covered with rust and dust. / 廃工場は錆と埃に覆われていた。 / 正解: 廃工場 / tags: state;physical;environment;formal / scene: description of old buildings
abandoned,2,We explored an <u>abandoned</u> factory on the outskirts of town.,私たちは町の郊外にある廃工場を探検した。,廃工場,新しい工場,稼働中の工場,有名な工場,1,「廃工場」が正解です。abandoned は「人がいなくなった、放棄された」という意味の形容詞で、工場などの建物に使うと「廃〜」という日本語になります。explore（探検する）という動詞との相性も典型的で、都市探検（urban exploration）の文脈でよく使われます。,「新しい工場」は英語では new factory で、最近できた状態を表します。abandoned は逆に「古くて使われていない」ことを意味するため不正解です。new は recent creation、abandoned は desertion を示します。,「稼働中の工場」は英語では operating / active factory で、現在使われている状態を表します。abandoned は「使われなくなった」ことを意味するため矛盾します。operating は current use、abandoned は disuse を表します。,「有名な工場」は英語では famous / well-known factory で、広く知られている状態を表します。abandoned は「放置された」という物理的状態を示すため、有名かどうかとは無関係です。famous は reputation、abandoned は condition を表します。,physical,concrete,description,urban,urban exploration activity,abandoned : We explored an abandoned factory on the outskirts of town. / 私たちは町の郊外にある廃工場を探検した。 / 正解: 廃工場 / tags: physical,concrete,description,urban / scene: urban exploration activity
