id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
1,i,other,1,私は,私が,私に
2,you,other,1,あなたは,あなたを,君
3,he,other,2,彼は,彼が,
4,she,other,2,彼女は,彼女が,
5,it,other,3,それは,それが,
6,we,other,3,私たちは,私たちが,
7,they,other,4,彼らは,彼らが,
8,this,other,4,これ,この,
9,that,other,5,あれ,あの,その
10,what,other,5,何,何か,
11,who,other,6,誰,誰が,
12,which,other,6,どちら,どの,
13,when,other,7,いつ,~する時,
14,where,other,8,どこ,~する場所,
15,why,other,8,なぜ,,
16,how,other,9,どのように,どう,
17,be,verb,9,~である,いる,ある
18,have,verb,10,持っている,~がある,食べる
19,do,verb,10,する,~する,
20,go,verb,11,行く,,
21,come,verb,11,来る,,
22,get,verb,12,得る,手に入れる,~になる
23,make,verb,12,作る,~させる,
24,see,verb,13,見る,会う,わかる
25,know,verb,14,知っている,わかる,
26,think,verb,14,思う,考える,
27,say,verb,15,言う,,
28,tell,verb,15,話す,教える,伝える
29,take,verb,16,取る,連れて行く,
30,give,verb,16,与える,あげる,
31,use,verb,17,使う,,
32,find,verb,17,見つける,わかる,
33,want,verb,18,欲しい,望む,
34,call,verb,18,呼ぶ,電話する,
35,try,verb,19,試みる,努力する,
36,ask,verb,19,尋ねる,頼む,
37,work,verb,20,働く,動く,
38,feel,verb,21,感じる,~な気がする,
39,become,verb,21,~になる,,
40,leave,verb,22,去る,出発する,残す
41,put,verb,22,置く,,
42,mean,verb,23,意味する,,
43,keep,verb,23,保つ,~し続ける,
44,let,verb,24,~させる,,
45,begin,verb,24,始まる,始める,
46,help,verb,25,助ける,手伝う,
47,show,verb,25,見せる,示す,
48,hear,verb,26,聞こえる,,
49,play,verb,27,遊ぶ,演奏する,
50,run,verb,27,走る,経営する,
51,move,verb,28,動く,引っ越す,
52,live,verb,28,住む,生きる,
53,believe,verb,29,信じる,,
54,bring,verb,29,持ってくる,連れてくる,
55,happen,verb,30,起こる,,
56,write,verb,30,書く,,
57,sit,verb,31,座る,,
58,stand,verb,31,立つ,我慢する,
59,lose,verb,32,失う,負ける,
60,pay,verb,32,払う,,
61,meet,verb,33,会う,出会う,
62,include,verb,34,含む,,
63,continue,verb,34,続ける,続く,
64,set,verb,35,置く,設定する,
65,learn,verb,35,学ぶ,,
66,change,verb,36,変わる,変える,
67,lead,verb,36,導く,率いる,
68,understand,verb,37,理解する,,
69,watch,verb,37,見る,観察する,
70,follow,verb,38,ついていく,従う,
71,stop,verb,38,止まる,やめる,
72,create,verb,39,創造する,作る,
73,speak,verb,40,話す,,
74,read,verb,40,読む,,
75,spend,verb,41,過ごす,費やす,
76,grow,verb,41,成長する,育つ,
77,open,verb,42,開く,開ける,
78,walk,verb,42,歩く,,
79,win,verb,43,勝つ,,
80,teach,verb,43,教える,,
81,offer,verb,44,提供する,申し出る,
82,remember,verb,44,覚えている,思い出す,
83,consider,verb,45,考える,みなす,
84,appear,verb,45,現れる,~のようだ,
85,buy,verb,46,買う,,
86,serve,verb,47,仕える,役立つ,
87,die,verb,47,死ぬ,,
88,send,verb,48,送る,,
89,build,verb,48,建てる,築く,
90,stay,verb,49,滞在する,とどまる,
91,fall,verb,49,落ちる,倒れる,
92,cut,verb,50,切る,,
93,reach,verb,50,着く,達する,
94,kill,verb,51,殺す,,
95,raise,verb,51,上げる,育てる,
96,pass,verb,52,通る,渡す,合格する
97,sell,verb,53,売る,,
98,decide,verb,53,決める,,
99,return,verb,54,戻る,返す,
100,explain,verb,54,説明する,,
101,hope,verb,55,望む,希望する,
102,develop,verb,55,発展する,発達する,
