id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
1,time,noun,50,時間,,
2,year,noun,50,年,,
3,people,noun,51,人々,,
4,way,noun,52,方法,道,
5,day,noun,53,日,一日,
6,man,noun,54,男,人間,
7,thing,noun,55,物,こと,
8,woman,noun,56,女,女性,
9,life,noun,57,人生,生活,
10,child,noun,58,子供,児童,
11,world,noun,59,世界,世間,
12,school,noun,59,学校,学園,
13,state,noun,60,州,状態,
14,family,noun,61,家族,家庭,
15,student,noun,62,学生,生徒,
16,group,noun,63,集団,グループ,
17,country,noun,64,国,国家,
18,problem,noun,65,問題,課題,
19,hand,noun,66,手,,
20,part,noun,67,部分,役割,
21,place,noun,68,場所,所,
22,case,noun,68,場合,事件,
23,week,noun,69,週,,
24,company,noun,70,会社,企業,
25,system,noun,71,システム,制度,
26,program,noun,72,プログラム,計画,
27,question,noun,73,質問,問題,
28,work,noun,74,仕事,作業,
29,government,noun,75,政府,行政,
30,number,noun,76,数,番号,
31,night,noun,77,夜,晩,
32,point,noun,77,点,要点,
33,home,noun,78,家,自宅,
34,water,noun,79,水,,
35,room,noun,80,部屋,室,
36,mother,noun,81,母,お母さん,
37,area,noun,82,地域,区域,
38,money,noun,83,お金,資金,
39,story,noun,84,物語,話,
40,fact,noun,85,事実,真実,
41,month,noun,86,月,一か月,
42,lot,noun,86,多く,たくさん,
43,right,noun,87,権利,右,正しいこと
44,study,noun,88,勉強,研究,学習
45,book,noun,89,本,書籍,
46,eye,noun,90,目,眼,
47,job,noun,91,仕事,職,
48,word,noun,92,単語,言葉,
49,business,noun,93,ビジネス,事業,
50,issue,noun,94,問題,発行,
51,side,noun,95,側,横,
52,kind,noun,95,種類,親切,
53,head,noun,96,頭,先頭,
54,house,noun,97,家,住宅,
55,service,noun,98,サービス,奉仕,
56,friend,noun,99,友達,友人,
57,father,noun,100,父,お父さん,
58,power,noun,101,力,権力,
59,hour,noun,102,時間,1時間,
60,game,noun,103,ゲーム,試合,
61,line,noun,104,線,列,
62,end,noun,104,終わり,末,
63,member,noun,105,メンバー,会員,
64,law,noun,106,法律,法則,
65,car,noun,107,車,自動車,
66,city,noun,108,都市,市,
67,community,noun,109,コミュニティ,地域社会,
68,name,noun,110,名前,名称,
69,president,noun,111,大統領,社長,
70,team,noun,112,チーム,班,
71,minute,noun,113,分,瞬間,
72,idea,noun,113,アイデア,考え,
73,kid,noun,114,子供,若者,
74,body,noun,115,体,身体,
75,information,noun,116,情報,案内,
76,back,noun,117,背中,後ろ,
77,parent,noun,118,親,保護者,
78,face,noun,119,顔,表面,
79,others,noun,120,他人,他の人々,
80,level,noun,121,レベル,水準,
81,office,noun,122,オフィス,事務所,
82,door,noun,122,ドア,扉,
83,health,noun,123,健康,衛生,
84,person,noun,124,人,人物,
85,art,noun,125,芸術,アート,
86,war,noun,126,戦争,戦い,
87,history,noun,127,歴史,,
88,party,noun,128,パーティー,政党,
89,result,noun,129,結果,成果,
90,change,noun,130,変化,お釣り,
91,morning,noun,131,朝,午前,
92,reason,noun,131,理由,原因,
93,research,noun,132,研究,調査,
94,girl,noun,133,女の子,少女,
95,guy,noun,134,男,人,
96,moment,noun,135,瞬間,時,
97,air,noun,136,空気,空,
98,teacher,noun,137,教師,先生,
99,force,noun,138,力,軍隊,
100,education,noun,139,教育,,
101,foot,noun,140,足,フィート,
102,boy,noun,140,男の子,少年,
103,age,noun,141,年齢,時代,
104,policy,noun,142,政策,方針,
105,process,noun,143,過程,処理,
106,music,noun,144,音楽,,
107,market,noun,145,市場,マーケット,
108,sense,noun,146,感覚,意味,
109,nation,noun,147,国民,国家,
110,plan,noun,148,計画,案,
111,college,noun,149,大学,短大,
112,interest,noun,149,興味,利子,
113,death,noun,150,死,死亡,
114,experience,noun,151,経験,体験,
115,effect,noun,152,効果,影響,
116,use,noun,153,使用,用途,
117,class,noun,154,クラス,階級,授業
118,control,noun,155,制御,支配,
119,care,noun,156,世話,注意,
120,field,noun,157,分野,畑,
121,development,noun,158,開発,発展,
122,role,noun,158,役割,役,
123,effort,noun,159,努力,尽力,
124,rate,noun,160,率,割合,
125,heart,noun,161,心,心臓,
126,drug,noun,162,薬,麻薬,
127,show,noun,163,ショー,展示,
128,leader,noun,164,リーダー,指導者,
129,light,noun,165,光,ライト,
130,voice,noun,166,声,,
131,wife,noun,167,妻,奥さん,
132,police,noun,167,警察,,
133,mind,noun,168,心,精神,
134,price,noun,169,価格,値段,
135,report,noun,170,報告,レポート,
136,decision,noun,171,決定,判断,
137,son,noun,172,息子,,
138,view,noun,173,眺め,意見,
139,relationship,noun,174,関係,交際,
140,town,noun,175,町,街,
141,road,noun,176,道路,道,
142,arm,noun,176,腕,武器,
143,difference,noun,177,違い,差,
144,value,noun,178,価値,値,
145,building,noun,179,建物,ビル,
146,action,noun,180,行動,作用,
147,model,noun,181,モデル,模型,
148,season,noun,182,季節,シーズン,
149,society,noun,183,社会,協会,
150,tax,noun,184,税,税金,
151,director,noun,185,監督,取締役,
152,position,noun,185,位置,立場,
153,player,noun,186,選手,プレイヤー,
154,record,noun,187,記録,レコード,
155,paper,noun,188,紙,新聞,
156,space,noun,189,空間,宇宙,
157,ground,noun,190,地面,土,
158,form,noun,191,形,形式,
159,event,noun,192,イベント,出来事,
160,official,noun,193,公務員,役人,
161,matter,noun,194,事柄,問題,物質
162,center,noun,194,中心,センター,
163,couple,noun,195,カップル,2人,一対
164,site,noun,196,サイト,場所,
165,project,noun,197,プロジェクト,事業,
166,activity,noun,198,活動,行動,
167,star,noun,199,星,スター,
168,table,noun,200,テーブル,表,
